TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1611661322,Washington Mystics,29,3,26,0.103,1165.0,692,1749,0.396,112,414,0.271,390,603,0.647,315,577,892,379,612.0,249,85,97,661,7,1886,-449.0,9,10,10,10,9,10,9,10,4,2,9,9,9,10,6,10,9,10,10,7,7,4,9,1,9,10,1998
1611661314,Charlotte Sting,32,15,17,0.469,1285.0,793,1805,0.439,108,369,0.293,410,535,0.766,268,685,953,568,469.0,233,97,99,560,0,2104,-38.0,1,5,5,5,7,5,10,2,9,8,10,9,9,3,12,5,9,2,5,8,7,5,1,12,9,7,1999
1611661315,Cleveland Rockers,32,7,25,0.219,1242.016667,746,1800,0.414,86,301,0.286,374,521,0.718,279,668,947,477,530.0,222,107,105,613,5,1952,-216.0,1,12,12,12,12,12,11,9,12,12,12,11,10,8,11,8,10,9,10,10,6,6,3,2,12,12,1999
1611661321,Detroit Shock,32,15,17,0.469,1295.483333,788,1965,0.401,119,332,0.358,535,763,0.701,320,673,993,461,482.0,237,96,131,723,4,2230,-62.0,1,5,5,5,2,7,3,10,8,11,2,3,2,10,6,7,6,11,6,6,8,11,11,4,5,8,1999
1611661316,Houston Comets,32,26,6,0.813,1285.0,841,1912,0.44,176,547,0.322,509,622,0.818,303,682,985,499,452.0,272,139,78,586,3,2367,297.0,1,1,1,1,7,4,6,1,2,2,6,5,8,1,9,6,7,8,2,4,2,1,2,8,3,1,1999
1611661320,Los Angeles Sparks,32,20,12,0.625,1292.15,887,2036,0.436,163,474,0.344,504,674,0.748,340,722,1062,580,482.0,236,124,98,691,4,2441,132.0,1,2,2,2,5,1,1,3,4,3,3,6,6,4,4,1,2,1,6,7,3,4,10,4,1,3,1999
1611661324,Minnesota Lynx,32,15,17,0.469,1295.0,748,1926,0.388,200,604,0.331,339,470,0.721,298,608,906,525,437.0,204,78,92,670,5,2035,-76.0,1,5,5,5,3,11,5,12,1,1,5,12,12,7,10,12,12,4,1,11,12,3,8,2,11,9,1999
1611661313,New York Liberty,32,18,14,0.563,1269.866667,784,1858,0.422,171,454,0.377,387,519,0.746,304,613,917,508,461.0,285,83,81,681,2,2126,92.0,1,4,4,4,11,8,9,8,3,6,1,10,11,6,8,11,11,6,4,3,11,2,9,9,8,4,1999
1611661323,Orlando Miracle,32,15,17,0.469,1290.0,793,1869,0.424,155,461,0.336,465,672,0.692,329,637,966,467,521.0,297,93,124,648,4,2206,-10.0,1,5,5,5,6,5,8,5,5,4,4,8,7,11,5,10,8,10,9,2,9,10,6,4,6,6,1999
1611661317,Phoenix Mercury,32,15,17,0.469,1275.483333,761,1907,0.399,134,457,0.293,511,685,0.746,342,657,999,511,459.0,228,119,108,652,2,2167,-7.0,1,5,5,5,10,9,7,11,6,5,9,4,4,5,3,9,5,5,3,9,5,7,7,9,7,5,1999
