GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
1020100233,0,12,0,1,11:45 AM,20:00,,Start of 1st Half (11:45 AM EST),,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0
1020100233,1,10,0,1,11:46 AM,20:00,Jump Ball Phillips vs. McWilliams-Franklin: Tip to Johnson,,,,,4,100413,Tari Phillips,1611661313.0,New York,Liberty,NYL,5,100412,Taj McWilliams-Franklin,1611661323.0,Orlando,Miracle,ORL,5,100410,Shannon Johnson,1611661323.0,Orlando,Miracle,ORL,0
1020100233,2,1,1,1,11:46 AM,19:34,,,Johnson 14' Jump Shot (2 PTS),2 - 0,-2,5,100410,Shannon Johnson,1611661323.0,Orlando,Miracle,ORL,0,0,,,,,,0,0,,,,,,0
1020100233,3,2,42,1,11:47 AM,19:05,MISS Robinson  Driving Layup,,,,,4,100345,Crystal Robinson,1611661313.0,New York,Liberty,NYL,0,0,,,,,,0,0,,,,,,0
1020100233,4,4,0,1,11:47 AM,19:03,,,Wyckoff REBOUND (Off:0 Def:1),,,5,100667,Brooke Wyckoff,1611661323.0,Orlando,Miracle,ORL,0,0,,,,,,0,0,,,,,,0
1020100233,5,1,1,1,11:47 AM,18:51,,,Johnson  3PT Jump Shot (5 PTS) (McWilliams-Franklin 1 AST),5 - 0,-5,5,100410,Shannon Johnson,1611661323.0,Orlando,Miracle,ORL,5,100412,Taj McWilliams-Franklin,1611661323.0,Orlando,Miracle,ORL,0,0,,,,,,0
1020100233,6,2,1,1,11:47 AM,18:29,MISS Weatherspoon  3PT Jump Shot,,,,,4,100101,Teresa Weatherspoon,1611661313.0,New York,Liberty,NYL,0,0,,,,,,0,0,,,,,,0
1020100233,7,4,0,1,11:47 AM,18:27,,,Sales REBOUND (Off:0 Def:1),,,5,100415,Nykesha Sales,1611661323.0,Orlando,Miracle,ORL,0,0,,,,,,0,0,,,,,,0
1020100233,8,1,1,1,11:48 AM,18:14,,,Sales  3PT Jump Shot (3 PTS) (Powell 1 AST),8 - 0,-8,5,100415,Nykesha Sales,1611661323.0,Orlando,Miracle,ORL,5,100414,Elaine Powell,1611661323.0,Orlando,Miracle,ORL,0,0,,,,,,0
1020100233,9,1,42,1,11:48 AM,17:55,Johnson  Driving Layup (2 PTS),,,8 - 2,-6,4,100103,Vickie Johnson,1611661313.0,New York,Liberty,NYL,0,0,,,,,,0,0,,,,,,0
