GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
1020900016,0,12,0,1,7:07 PM,10:00,,Start of 1st Period (7:07 PM EST),,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0
1020900016,1,10,0,1,7:08 PM,10:00,Jump Ball Sutton-Brown vs. Leslie: Tip to Thompson,,,,,4,100628,Tammy Sutton-Brown,1611661325.0,Indiana,Fever,IND,5,100003,Lisa Leslie,1611661320.0,Los Angeles,Sparks,LAS,5,100076,Tina Thompson,1611661320.0,Los Angeles,Sparks,LAS,0
1020900016,2,1,5,1,7:08 PM,9:54,,,Thompson  Layup (2 PTS),2 - 0,-2,5,100076,Tina Thompson,1611661320.0,Los Angeles,Sparks,LAS,0,0,,,,,,0,0,,,,,,0
1020900016,3,1,1,1,7:09 PM,9:33,Sutton-Brown 4' Jump Shot (2 PTS),,,2 - 2,TIE,4,100628,Tammy Sutton-Brown,1611661325.0,Indiana,Fever,IND,0,0,,,,,,0,0,,,,,,0
1020900016,4,5,41,1,7:09 PM,9:11,,,Quinn Poss Lost Ball Turnover (P1.T1),,,5,201049,Noelle Quinn,1611661320.0,Los Angeles,Sparks,LAS,0,0,,,,,,0,0,,,,,,0
1020900016,5,6,1,1,7:09 PM,9:03,,,Lennox P.FOUL (P1.T1),,,5,100484,Betty Lennox,1611661320.0,Los Angeles,Sparks,LAS,4,100666,Katie Douglas,1611661325.0,Indiana,Fever,IND,1,0,,,,,,0
1020900016,6,5,1,1,7:10 PM,8:53,Sutton-Brown Bad Pass Turnover (P1.T1),,Quinn STEAL (1 STL),,,4,100628,Tammy Sutton-Brown,1611661325.0,Indiana,Fever,IND,5,201049,Noelle Quinn,1611661320.0,Los Angeles,Sparks,LAS,0,0,,,,,,0
1020900016,7,6,2,1,7:10 PM,8:46,Douglas S.FOUL (P1.T1),,,,,4,100666,Katie Douglas,1611661325.0,Indiana,Fever,IND,5,201049,Noelle Quinn,1611661320.0,Los Angeles,Sparks,LAS,1,0,,,,,,0
1020900016,8,3,11,1,7:10 PM,8:46,,,Quinn Free Throw 1 of 2 (1 PTS),3 - 2,-1,5,201049,Noelle Quinn,1611661320.0,Los Angeles,Sparks,LAS,0,0,,,,,,0,0,,,,,,0
1020900016,10,3,12,1,7:10 PM,8:46,,,MISS Quinn Free Throw 2 of 2,,,5,201049,Noelle Quinn,1611661320.0,Los Angeles,Sparks,LAS,0,0,,,,,,0,0,,,,,,0
1020900016,12,4,0,1,7:11 PM,8:45,,,Lennox REBOUND (Off:1 Def:0),,,5,100484,Betty Lennox,1611661320.0,Los Angeles,Sparks,LAS,0,0,,,,,,0,0,,,,,,0
1020900016,13,2,1,1,7:11 PM,8:40,,,MISS Lennox 19' Jump Shot,,,5,100484,Betty Lennox,1611661320.0,Los Angeles,Sparks,LAS,0,0,,,,,,0,0,,,,,,0
1020900016,14,4,0,1,7:11 PM,8:38,Catchings REBOUND (Off:0 Def:1),,,,,4,100646,Tamika Catchings,1611661325.0,Indiana,Fever,IND,0,0,,,,,,0,0,,,,,,0
1020900016,15,1,42,1,7:11 PM,8:28,Catchings 2' Driving Layup (2 PTS),,,3 - 4,1,4,100646,Tamika Catchings,1611661325.0,Indiana,Fever,IND,0,0,,,,,,0,0,,,,,,0
1020900016,16,6,2,1,7:11 PM,8:28,,,Thompson S.FOUL (P1.T2),,,5,100076,Tina Thompson,1611661320.0,Los Angeles,Sparks,LAS,4,100646,Tamika Catchings,1611661325.0,Indiana,Fever,IND,1,0,,,,,,0
1020900016,17,3,10,1,7:11 PM,8:28,Catchings Free Throw 1 of 1 (3 PTS),,,3 - 5,2,4,100646,Tamika Catchings,1611661325.0,Indiana,Fever,IND,0,0,,,,,,0,0,,,,,,0
1020900016,19,2,1,1,7:12 PM,8:11,,,MISS Thompson 15' Jump Shot,,,5,100076,Tina Thompson,1611661320.0,Los Angeles,Sparks,LAS,0,0,,,,,,0,0,,,,,,0
1020900016,20,4,0,1,7:12 PM,8:11,,,Leslie REBOUND (Off:1 Def:0),,,5,100003,Lisa Leslie,1611661320.0,Los Angeles,Sparks,LAS,0,0,,,,,,0,0,,,,,,0
1020900016,21,6,2,1,7:12 PM,8:11,Sutton-Brown S.FOUL (P1.T2),,,,,4,100628,Tammy Sutton-Brown,1611661325.0,Indiana,Fever,IND,5,100003,Lisa Leslie,1611661320.0,Los Angeles,Sparks,LAS,1,0,,,,,,0
1020900016,22,3,11,1,7:12 PM,8:11,,,Leslie Free Throw 1 of 2 (1 PTS),4 - 5,1,5,100003,Lisa Leslie,1611661320.0,Los Angeles,Sparks,LAS,0,0,,,,,,0,0,,,,,,0
