GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
1021100140,0,12,0,1,7:11 PM,10:00,,Start of 1st Period (7:11 PM EST),,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0
1021100140,1,10,0,1,7:11 PM,10:00,Jump Ball Vaughn vs. Anosike: Tip to Pondexter,,,,,4,201913,Kia Vaughn,1611661313.0,New York,Liberty,NYL,5,201500,Nicky Anosike,1611661322.0,Washington,Mystics,WAS,4,200665,Cappie Pondexter,1611661313.0,New York,Liberty,NYL,0
1021100140,2,5,13,1,7:11 PM,9:56,Pondexter Backcourt Turnover (P1.T1),,,,,4,200665,Cappie Pondexter,1611661313.0,New York,Liberty,NYL,0,0,,,,,,1,0,,,,,,0
1021100140,3,6,1,1,7:12 PM,9:45,Pierson P.FOUL (P1.T1),,,,,4,100888,Plenette Pierson,1611661313.0,New York,Liberty,NYL,5,201500,Nicky Anosike,1611661322.0,Washington,Mystics,WAS,1,0,,,,,,0
1021100140,4,2,1,1,7:12 PM,9:32,,,MISS Coleman 25' 3PT Jump Shot,,,5,201889,Marissa Coleman,1611661322.0,Washington,Mystics,WAS,0,0,,,,,,0,0,,,,,,0
1021100140,5,4,0,1,7:12 PM,9:30,Pondexter REBOUND (Off:0 Def:1),,,,,4,200665,Cappie Pondexter,1611661313.0,New York,Liberty,NYL,0,0,,,,,,0,0,,,,,,0
1021100140,6,1,42,1,7:12 PM,9:24,Vaughn 1' Driving Layup (2 PTS) (Pondexter 1 AST),,,0 - 2,2,4,201913,Kia Vaughn,1611661313.0,New York,Liberty,NYL,4,200665,Cappie Pondexter,1611661313.0,New York,Liberty,NYL,0,0,,,,,,0
1021100140,7,6,2,1,7:13 PM,9:01,Pondexter S.FOUL (P1.T2),,,,,4,200665,Cappie Pondexter,1611661313.0,New York,Liberty,NYL,5,201492,Matee Ajavon,1611661322.0,Washington,Mystics,WAS,1,0,,,,,,0
1021100140,8,18,0,1,7:13 PM,9:01,,Support Ruling,,,,0,7,Dan Schayes,,,,,0,0,,,,,,1,0,,,,,,0
1021100140,9,3,11,1,7:16 PM,9:01,,,Ajavon Free Throw 1 of 2 (1 PTS),1 - 2,1,5,201492,Matee Ajavon,1611661322.0,Washington,Mystics,WAS,0,0,,,,,,0,0,,,,,,0
1021100140,11,3,12,1,7:17 PM,9:01,,,Ajavon Free Throw 2 of 2 (2 PTS),2 - 2,TIE,5,201492,Matee Ajavon,1611661322.0,Washington,Mystics,WAS,0,0,,,,,,0,0,,,,,,0
1021100140,13,2,42,1,7:17 PM,8:55,MISS Pondexter 2' Driving Layup,,,,,4,200665,Cappie Pondexter,1611661313.0,New York,Liberty,NYL,0,0,,,,,,0,0,,,,,,0
1021100140,14,4,0,1,7:17 PM,8:54,Pondexter REBOUND (Off:1 Def:1),,,,,4,200665,Cappie Pondexter,1611661313.0,New York,Liberty,NYL,0,0,,,,,,0,0,,,,,,0
1021100140,15,2,1,1,7:17 PM,8:42,MISS Pondexter 16' Jump Shot,,,,,4,200665,Cappie Pondexter,1611661313.0,New York,Liberty,NYL,0,0,,,,,,0,0,,,,,,0
1021100140,16,4,0,1,7:17 PM,8:41,Vaughn REBOUND (Off:1 Def:0),,,,,4,201913,Kia Vaughn,1611661313.0,New York,Liberty,NYL,0,0,,,,,,0,0,,,,,,0
1021100140,17,1,5,1,7:17 PM,8:40,Vaughn 2' Layup (4 PTS),,,2 - 4,2,4,201913,Kia Vaughn,1611661313.0,New York,Liberty,NYL,0,0,,,,,,0,0,,,,,,0
1021100140,18,2,1,1,7:18 PM,8:16,,,MISS Miller  3PT Jump Shot,,,5,100627,Kelly Miller,1611661322.0,Washington,Mystics,WAS,0,0,,,,,,0,0,,,,,,0
1021100140,19,4,0,1,7:18 PM,8:14,Pondexter REBOUND (Off:1 Def:2),,,,,4,200665,Cappie Pondexter,1611661313.0,New York,Liberty,NYL,0,0,,,,,,0,0,,,,,,0
1021100140,20,2,63,1,7:18 PM,8:05,MISS Vaughn 9' Fadeaway Jumper,,,,,4,201913,Kia Vaughn,1611661313.0,New York,Liberty,NYL,0,0,,,,,,0,0,,,,,,0
1021100140,21,4,0,1,7:18 PM,8:04,,,Anosike REBOUND (Off:0 Def:1),,,5,201500,Nicky Anosike,1611661322.0,Washington,Mystics,WAS,0,0,,,,,,0,0,,,,,,0
1021100140,22,2,42,1,7:18 PM,8:00,,,MISS Coleman 2' Driving Layup,,,5,201889,Marissa Coleman,1611661322.0,Washington,Mystics,WAS,0,0,,,,,,0,0,,,,,,0
1021100140,23,4,0,1,7:18 PM,7:58,Vaughn REBOUND (Off:1 Def:1),,,,,4,201913,Kia Vaughn,1611661313.0,New York,Liberty,NYL,0,0,,,,,,0,0,,,,,,0
1021100140,24,1,42,1,7:18 PM,7:52,Pierson 2' Driving Layup (2 PTS) (Powell 1 AST),,,2 - 6,4,4,100888,Plenette Pierson,1611661313.0,New York,Liberty,NYL,4,100919,Nicole Powell,1611661313.0,New York,Liberty,NYL,0,0,,,,,,0
1021100140,25,1,5,1,7:19 PM,7:30,,,Langhorne 1' Layup (2 PTS) (Ajavon 1 AST),4 - 6,2,5,201518,Crystal Langhorne,1611661322.0,Washington,Mystics,WAS,5,201492,Matee Ajavon,1611661322.0,Washington,Mystics,WAS,0,0,,,,,,0
1021100140,26,5,2,1,7:19 PM,7:11,Vaughn Lost Ball Turnover (P1.T2),,Anosike STEAL (1 STL),,,4,201913,Kia Vaughn,1611661313.0,New York,Liberty,NYL,5,201500,Nicky Anosike,1611661322.0,Washington,Mystics,WAS,0,0,,,,,,0
1021100140,27,5,1,1,7:19 PM,7:05,Pondexter STEAL (1 STL),,Coleman Bad Pass Turnover (P1.T1),,,5,201889,Marissa Coleman,1611661322.0,Washington,Mystics,WAS,4,200665,Cappie Pondexter,1611661313.0,New York,Liberty,NYL,0,0,,,,,,0
1021100140,28,1,46,1,7:19 PM,6:48,Pierson 8' Running Jump Shot (4 PTS) (Vaughn 1 AST),,,4 - 8,4,4,100888,Plenette Pierson,1611661313.0,New York,Liberty,NYL,4,201913,Kia Vaughn,1611661313.0,New York,Liberty,NYL,0,0,,,,,,0
1021100140,29,1,5,1,7:20 PM,6:30,,,Anosike 2' Layup (2 PTS) (Langhorne 1 AST),6 - 8,2,5,201500,Nicky Anosike,1611661322.0,Washington,Mystics,WAS,5,201518,Crystal Langhorne,1611661322.0,Washington,Mystics,WAS,0,0,,,,,,0
1021100140,30,6,27,1,7:20 PM,6:12,,,Anosike Personal Block Foul (P1.T1),,,5,201500,Nicky Anosike,1611661322.0,Washington,Mystics,WAS,4,100888,Plenette Pierson,1611661313.0,New York,Liberty,NYL,1,0,,,,,,0
1021100140,31,8,0,1,7:20 PM,6:12,,,SUB: Gardin FOR Coleman,,,5,201889,Marissa Coleman,1611661322.0,Washington,Mystics,WAS,5,200704,Kerri Gardin,1611661322.0,Washington,Mystics,WAS,0,0,,,,,,0
1021100140,32,8,0,1,7:20 PM,6:12,SUB: Braxton FOR Vaughn,,,,,4,201913,Kia Vaughn,1611661313.0,New York,Liberty,NYL,4,101025,Kara Braxton,1611661313.0,New York,Liberty,NYL,0,0,,,,,,0
1021100140,33,1,1,1,7:20 PM,6:09,Pondexter 19' Jump Shot (2 PTS) (Powell 2 AST),,,6 - 10,4,4,200665,Cappie Pondexter,1611661313.0,New York,Liberty,NYL,4,100919,Nicole Powell,1611661313.0,New York,Liberty,NYL,0,0,,,,,,0
1021100140,34,5,1,1,7:21 PM,5:57,,,Miller Bad Pass Turnover (P1.T2),,,5,100627,Kelly Miller,1611661322.0,Washington,Mystics,WAS,0,0,,,,,,0,0,,,,,,0
1021100140,35,6,1,1,7:21 PM,5:50,,,Miller P.FOUL (P1.T2),,,5,100627,Kelly Miller,1611661322.0,Washington,Mystics,WAS,4,201507,Leilani Mitchell,1611661313.0,New York,Liberty,NYL,1,0,,,,,,0
1021100140,36,5,1,1,7:21 PM,5:44,Pierson Bad Pass Turnover (P1.T3),,Gardin STEAL (1 STL),,,4,100888,Plenette Pierson,1611661313.0,New York,Liberty,NYL,5,200704,Kerri Gardin,1611661322.0,Washington,Mystics,WAS,0,0,,,,,,0
1021100140,37,2,42,1,7:21 PM,5:38,Pierson BLOCK (1 BLK),,MISS Ajavon 2' Driving Layup,,,5,201492,Matee Ajavon,1611661322.0,Washington,Mystics,WAS,0,0,,,,,,4,100888,Plenette Pierson,1611661313.0,New York,Liberty,NYL,0
1021100140,38,4,0,1,7:21 PM,5:37,Pierson REBOUND (Off:0 Def:1),,,,,4,100888,Plenette Pierson,1611661313.0,New York,Liberty,NYL,0,0,,,,,,0,0,,,,,,0
